pruid,prename,prfname,week_end,product_name,numtotal_atleast1dose,numtotal_1dose,numtotal_2doses,prop_atleast1dose,prop_1dose,prop_2doses,,numweekdelta_atleast1dose,numweekdelta_2doses,propweekdelta_1dose,propweekdelta_2doses
1,Canada,Canada,19-12-2020,Pfizer-BioNTech,8734,8734,0,0.068445406,0.068445406,0,,,,,
1,Canada,Canada,19-12-2020,Moderna,0,0,0,0,0,0,,,,,
1,Canada,Canada,19-12-2020,Not reported,0,0,0,0,0,0,,,,,
10,Newfoundland and Labrador,Newfoundland and Labrador,19-12-2020,Pfizer-BioNTech,972,972,0,0.186170162,0.186170162,0,,,,,
10,Newfoundland and Labrador,Newfoundland and Labrador,19-12-2020,Moderna,0,0,0,0,0,0,,,,,
10,Newfoundland and Labrador,Newfoundland and Labrador,19-12-2020,Not reported,0,0,0,0,0,0,,,,,
12,Nova Scotia,Nova Scotia,19-12-2020,Pfizer-BioNTech,1092,1092,0,0.111502413,0.111502413,0,,,,,
12,Nova Scotia,Nova Scotia,19-12-2020,Moderna,0,0,0,0,0,0,,,,,
12,Nova Scotia,Nova Scotia,19-12-2020,Not reported,0,0,0,0,0,0,,,,,
24,Quebec,Quebec,19-12-2020,Pfizer-BioNTech,4728,4728,,0.055139785,0.055139785,,,,,,
24,Quebec,Quebec,19-12-2020,Moderna,0,0,,0,0,,,,,,
24,Quebec,Quebec,19-12-2020,Not reported,0,0,,0,0,,,,,,
46,Manitoba,Manitoba,19-12-2020,Pfizer-BioNTech,894,894,0,0.064817225,0.064817225,0,,,,,
46,Manitoba,Manitoba,19-12-2020,Moderna,0,0,0,0,0,0,,,,,
46,Manitoba,Manitoba,19-12-2020,Not reported,0,0,0,0,0,0,,,,,
47,Saskatchewan,Saskatchewan,19-12-2020,Pfizer-BioNTech,1048,1048,0,0.088912946,0.088912946,0,,,,,
47,Saskatchewan,Saskatchewan,19-12-2020,Moderna,0,0,0,0,0,0,,,,,
47,Saskatchewan,Saskatchewan,19-12-2020,Not reported,0,0,0,0,0,0,,,,,
61,Northwest Territories,Northwest Territories,19-12-2020,Pfizer-BioNTech,0,0,0,0,0,0,,,,,
61,Northwest Territories,Northwest Territories,19-12-2020,Moderna,0,0,0,0,0,0,,,,,
61,Northwest Territories,Northwest Territories,19-12-2020,Not reported,0,0,0,0,0,0,,,,,
60,Yukon,Yukon,19-12-2020,Pfizer-BioNTech,0,0,0,0,0,0,,,,,
60,Yukon,Yukon,19-12-2020,Moderna,0,0,0,0,0,0,,,,,
60,Yukon,Yukon,19-12-2020,Not reported,0,0,0,0,0,0,,,,,
